question,response
Why must jurors spend so much time waiting?,The most common complaint of jurors everywhere the seemingly endless waiting.  The time you spend waiting is being used by the judge and attorneys to resolve cases.  Many cases are resolved once the parties realize that potential jurors are in the building.  The staff of the Court Administrator's Office will do their best to keep you well informed.  Your attendance is crucial to our judicial process and is greatly appreciated.
"I missed my Court date, what do I do now?","<DIV><FONT face=""Times New Roman"" size=3>Your License could be suspended for Failure To Appear. Call the Courtroom for information on what to do.</FONT></DIV>"
What are the phone numbers and locations of the four County Division Courts?,"<DIV><FONT size=3></FONT>&nbsp;</DIV>
<DIV>
<TABLE cellSpacing=1 cellPadding=1 width=""100%"" border=1>
<TBODY>
<TR>
<TD><FONT face=""Times New Roman"">Division&nbsp;I&nbsp;</FONT></TD>
<TD><FONT face=""Times New Roman"">Judge Nicholas Schiralli</FONT></TD>
<TD><FONT face=""Times New Roman"">2293 North Main St Crown&nbsp; Point,&nbsp; IN 46307</FONT></TD>
<TD><FONT face=""Times New Roman"">219-755-3570</FONT></TD></TR>
<TR>
<TD><FONT face=""Times New Roman"">Division&nbsp;II</FONT></TD>
<TD><FONT face=""Times New Roman"">Judge Sheila Moss</FONT></TD>
<TD><FONT face=""Times New Roman"">2293 North Main St Crown&nbsp; Point,&nbsp; IN 46307</FONT></TD>
<TD><FONT face=""Times New Roman"">219-755-3580</FONT></TD></TR>
<TR>
<TD><FONT face=""Times New Roman"">Division&nbsp;III</FONT></TD>
<TD><FONT face=""Times New Roman"">Judge Julie Cantrell</FONT></TD>
<TD><FONT face=""Times New Roman"">2293 North Main St Crown&nbsp; Point,&nbsp; IN 46307</FONT></TD>
<TD><FONT face=""Times New Roman"">219-755-3595</FONT></TD></TR>
<TR>
<TD><FONT face=""Times New Roman"">Division IV</FONT></TD>
<TD><FONT face=""Times New Roman"">Judge Jesse Villalpando</FONT></TD>
<TD><FONT face=""Times New Roman"">232 Russell St </FONT><FONT size=3>Hammond</FONT><FONT size=3>, IN&nbsp; 46320</FONT></TD>
<TD>219-933-2841</TD></TR></TBODY></TABLE></DIV>"
"If I am scheduled for a court date but cannot appear, can someone else appear on my behalf?
","You may have someone else appear on your behalf but only to advise the Court of your whereabouts. This, however is usually only allowed on one occasion, if there was some sort of an emergency preventing you from appearing. The case will NOT be able to be disposed of without your personal appearance.
"
"What if I have received notice of a court date but cannot appear on that date and need a continuance?
","Call the office and request a continuance. You may be asked to write a letter to the Court.
"
"How long will a conviction stay on my record?
","Permanently.
"
"What if I have an outstanding warrant for my arrest?
","If you have an original warrant, you will need to surrender yourself to the Lake County Sheriff and post your bond.
If you cannot post the bond set for the original warrant, you can come to court on Monday, Wednesday or Friday morning, at 8:45 a.m. There is a chance your bond may be lowered to an amount you can post but there is also a chance you will have to post the same amount. Either way, you will have to go through the booking process at the Lake County Jail before you are released.

If you have a bench warrant for failing to appear in court, you may come into court on Monday, Wednesday or Friday morning at 8:45 a.m. and go before the Court to have the warrant recalled."
"Do I have a right to Probation?

","No. Probation is a privilege and not a right.  

"
"What days and times can I call in to speak to a Probation Officer?
",Tuesdays and Thursdays 8:30AM - 4:00PM
"What if I missed my court date for a traffic ticket?
",You may call the office and be added onto our Wednesday afternoon court call which begins at 1:30 p.m.
"How do I obtain a continuance for a Court date in a small claims proceeding?
","Continuances (postponements) will only be granted to either party in a case, if good cause is shown, in writing, at least five (5) days prior to a scheduled hearing. Requests for a continuance made less than five (5) days prior to the hearing will only be granted if an emergency situation is present. Except in unusual circumstances, no party shall be allowed more than one (1) continuance in any case and each continuance must be specifically approved by the Judge. Notice of the continuance and the new date and time of the trial/hearing will be provided to all parties. Parties should appear at all hearings or trials unless specifically told by the Judges staff that the matter has been continued."
What can I sue for in Small Claims Court?,"<P><FONT face=""Times New Roman"" size=2>There are many times when you can sue in Small Claims Court. The following list contains some examples.</FONT></P>
<P><FONT face=""Times New Roman"" size=2>(a) Personal Injury, six thousand dollars ($6,000) or less.<BR>(b) Damage to personal property or real property.<BR></FONT><FONT face=""Times New Roman"" size=2>(c) Actions between a landlord and tenant.</FONT></P>
<P><FONT face=""Times New Roman"" size=2>As you might have guessed from the above examples, by Indiana Law, Small Claims are currently limited to cases where the amount sought to be recovered is six thousand dollars ($6,000) or less. From time to time the Indiana Legislature changes this upper limit on small claims cases and you should check with the clerk if you have a claim which might exceed this amount. The filing fee to file a small claims case in </FONT><FONT face=""Times New Roman"" size=2>Lake County</FONT><FONT face=""Times New Roman"" size=2>, </FONT><FONT face=""Times New Roman"" size=2>Indiana</FONT><FONT face=""Times New Roman"" size=2> is currently $70.00. There is a $10.00 fee for each additional Defendant. There is also a Plenary Docket in Small Claims Court which allows a person or Corporation to sue for up to ten thousand dollars ($10,000.00) in Small Claims on a civil case based on a contract or tort if damages do not exceed $10,000.00. Possesory actions between a landlord and tenant where the property sought to be recovered does not exceed $10,000.00 can be filed on both dockets. However, the Rules of Evidence do apply when a case is filed on the Plenary Docket and the informal aspects of Small Claims Court no long apply. The filing fee to file a case on the Plenary Docket is currently $130.00. </FONT></P>"
"Where can I find a copy of the Indiana Rules for Small Claims?
","The Indiana Rules for Small Claims and most legal procedures can be found at your local library. The Indiana Rules for Small Claims can also be accessed On-line at <FONT size=2><A href=""http://www.in.gov/judiciary/rules/small_claims/index.html"" target=_blank>http://www.in.gov/judiciary/rules/small_claims/index.html</A>.</FONT>"
"My septic system is malfunctioning, what should I do?
",<p>Contact a licensed Lake County On-Site Waste Water System (septic) Installer for an evaluation of the suspected malfunction. All modifications and or repairs to a septic system must receive an approval (permit) from our office prior to installation.</p>
"Do I need a permit to operate a public swimming pool?
","<p>Yes, all public or semi-public swimming pools (Annual or Seasonal) must have a valid permit from our office during its operation. Public swimming pool permits must be renewed with our Department annually.</p>"
"When do I need to renew my food service permit?


",<p>Annual food service permits are due for renewal every year beginning January 1st through March 1st. Temporary food service permits need to be purchased ten (10) days prior to the event.</p>
"How do I get my drinking water tested?
","<p>If the results are for your own personal use, contact a licensed laboratory that is certified to conduct drinking water analys is. If the testing is required for a property selling I buying transaction, contact our Environmental Division at 219-755-3655.</p>"
"I am away from home during election. Can I still vote and how?
","You can still vote using an absentee ballot. You can find out more and download the appropriate form at <a href=""javascript:openExtWindow('http://www.in.gov/sos/elections/2402.htm')"">http://www.in.gov/sos/elections/2402.htm</a>."
"Do you offer adult immunizations?
","Yes, call 219-755-3658 for more information and availability."
"How can I obtain a Death Certificate?
","<p>In person at our office you must provide proof of association with deceased, your personal<br />identification (drivers license or State identification card) and $11.00 (cash or money order)<br />for each certified copy requested. By mail you must send a request to Lake County Health<br />Department, 2900 W. 93rd Avenue, Crown Point, Indiana 46307. Include name of<br />deceased, date of death, city where death occurred, your association with the deceased,<br />copy of your personal identification (drivers license or State identification card) $11.00 (cash<br />or money order) for each certified copy requested and a self-addressed stamped return<br />envelope.</p>"
"How can I establish paternity for my child?
","<p>If not married - mother and father need to be present together at our office with proof of<br>identification, $15.00 for application processing and $10.00 for each amended certified<br>birth certificate copy requested. Paternity applicants must be present together in our office<br>before 3:00 PM during our normal office hours.</p>
<p><br>If married - mother and father need to be present together at our office with proof of<br>identification, a marriage license, $15.00 for application processing and $10.00 for each<br>amended certified birth certificate copy requested. Paternity applicants must be present<br>together in our office before 3:00 PM during our normal office hours. Mother should<br>have her last name changed on her identification card prior to submitting a paternity affidavit.<br>DNA testing results, completed for joint legal custody, must be submitted to our office within<br>60 days of the child's birth.</p>
<p>Court Orders establish ing paternity submitted to our office must have original signatures and<br>a raised seal from the Court on the document.</p><p><br>A paternity can only be established for individuals under the age of 18 years.<br></p>"
"Do I need a food service permit and what is the procedure for receiving one?
","<p>Any individual or business selling food in Lake County (except within the corporate limits of the City of Gary or the City of East Chicago) is required to obtain a permit from our Department before beginning operation. Contact our office at 219-755-3655, request to speak with our Food Division to obtain the appropriate applicat ion and details.</p>"
"How can I obtain a Birth Certificate?
","<p>The following individuals may request a certified birth certificate copy: the mother, the father, a sibling, a grandparent, a spouse of the individual or the person born shown in the record. Birth certificates may be obtained in person at our office with proof of identification. Certificate mail requests can be forwarded to the Lake County Health Department, 2900 W. 93rd Avenue, Crown Point, Indiana 46307 and must included the birth name, date of birth, city of birth, parent(s) name(s), copy of identification card, self-addressed stamped return envelope and $10.00 (cash or money order) for each copy requested. Our office does not have birth records for individuals born in Gary or East Chicago. Birth certificates can not be issued for deceased individuals.</p>"
"Where do I find out list of candidates for the upcoming election?


","Click <a href=""portal/action/Forward/to/ListOfCandidates"">here</a> to download a list of candidates for the upcoming election. The documents are in PDF format and may require you to download Adobe PDF Reader (unless you already have one installed).


"
"How do I find out where to vote?

","Lake County provides a search engine to find out the polling place based on your first name, last name and date of birth. Click <a href=""http://www.lakecountyin.org/portal/media-type/html/group/voters/page/default.psml/js_pane/P-10ad11149b3-1033f"">here</a> to lookup your polling place."
"How do I register to vote?

","Go to <a href=""javascript:openExtWindow('http://www.in.gov/sos/elections/2403.htm')"">http://www.in.gov/sos/elections/2403.htm</a> to for a list of useful resources that will help you to register to vote."
